id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48593,11.34925,Entire home/apt,80,3,223,2024-03-03,1.36,2,214,23,
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49163,11.33398,Private room,40,2,410,2024-03-10,2.50,2,37,42,
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47888,11.35625,Entire home/apt,120,2,56,2023-10-30,0.38,1,90,11,
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.33786,Private room,72,5,73,2023-12-01,0.48,7,358,3,
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49182,11.33912,Private room,95,2,265,2023-12-11,1.74,1,35,8,
219878,Gorgeous Haven in Centro Storico,1139326,Elisa,,Santo Stefano,44.48787,11.35392,Entire home/apt,130,3,169,2024-03-12,1.12,2,26,10,
229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,83,3,73,2023-12-11,0.52,1,132,19,037006-AT-00169
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49884,11.34315,Private room,109,2,46,2024-03-24,0.33,1,175,8,
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49544,11.33114,Entire home/apt,75,60,51,2020-03-01,0.35,1,114,0,
306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49718,11.3444,Entire home/apt,80,10,22,2022-07-03,0.15,1,52,0,
338331,Nice double room near Fiera District and center,1718955,Valentina,,Navile,44.51753,11.35408,Private room,56,1,18,2023-10-31,0.12,1,269,10,
374610,Monolocale con WIFI cucina-bagno!,1884566,Federico,,Santo Stefano,44.48921,11.35713,Entire home/apt,70,2,115,2024-02-12,0.86,4,223,11,
383256,Appartamento Open Space in centro!,1884566,Federico,,Porto - Saragozza,44.49984,11.34307,Entire home/apt,74,2,199,2024-01-29,1.37,4,94,18,
411523,Melograno's house,2048622,Irene,,Santo Stefano,44.4931,11.35442,Entire home/apt,173,2,131,2023-12-12,1.00,2,112,10,CIR 037006-AT-00273  codice struttura U04241
524986,Nice and silent appartment,3206567,Stefania,,Navile,44.5191,11.32102,Private room,80,2,31,2024-01-02,0.25,1,298,6,
570880,sweet loft in bologna's heart,123920,Giorgio,,Porto - Saragozza,44.49239,11.33567,Entire home/apt,250,2,65,2022-07-03,0.46,1,315,0,
584370,Cosy Single Room with  bathroom,2879369,Andrea,,Porto - Saragozza,44.49084,11.31162,Private room,76,1,21,2023-05-17,0.16,3,159,1,
648513,Cosy studio in the World Heritage site,95428,Simona,,Porto - Saragozza,44.4937,11.34051,Entire home/apt,80,90,11,2023-10-31,0.08,1,249,2,
670725,Camera singola e bagno accogliente,3398944,Enzo,,Savena,44.46969,11.37699,Private room,86,1,6,2023-05-20,0.04,2,358,1,
