id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,nomezona,cod_zona,zona
"1105800518528662538",Casa Panigale Bologna,"90499172",Paola,,Borgo Panigale - Reno,44.5215347,11.2664525,Entire home/apt,"107","1","10",2025/02/23,0.82,"1","89","10",IT037006C2Q847ZXZK,Borgo Panigale,C,Borgo Panigale
"53270398",Appartamento incantevole con parcheggio,"431258761",Elisa,,Borgo Panigale - Reno,44.52089,11.26846,Entire home/apt,"114","1","150",2025/02/16,3.73,"1","261","36",IT037006B4BSA55JW6,Borgo Panigale,C,Borgo Panigale
"1115705845205716168",B&B Pokapaya a Borgo Panigale,"567847382",Alessia,,Borgo Panigale - Reno,44.52064,11.26794,Entire home/apt,"100","1","15",2024/11/10,1.26,"1","92","15",IT037006C1ZP5J7QSS,Borgo Panigale,C,Borgo Panigale
"1139618977916969308",Le Due Isole Bologna,"110837472",Andrea,,Borgo Panigale - Reno,44.5214149,11.2722027,Entire home/apt,"95","1","9",2024/10/19,0.98,"1","208","9",IT037006C2XSTTP6L3,Borgo Panigale,C,Borgo Panigale
"1291374258618363373",Confort a Bologna,"461023982",Chiara,,Borgo Panigale - Reno,44.5201891204028,11.26703860304,Entire home/apt,"86","1","5",2025/03/02,1.95,"1","284","5",IT037006C2X68GH6O7,Borgo Panigale,C,Borgo Panigale
"1376221318132128312",Suite Emilia 5,"574325933",Giorgio,,Borgo Panigale - Reno,44.5210114,11.2662101,Entire home/apt,"147","1","0",,,"7","42","0","I applied for a CIN, but haven’t received it yet",Borgo Panigale,C,Borgo Panigale
"1368838970755585401",Suite Emilia 4,"574325933",Giorgio,,Borgo Panigale - Reno,44.5210114,11.2662101,Entire home/apt,"170","1","0",,,"7","43","0",IT037006C2GTQELINB,Borgo Panigale,C,Borgo Panigale
"1252629732425437266",Singola Borgo Panigale per Stranieri,"142944795",Aida,,Borgo Panigale - Reno,44.5191573781667,11.2770844512041,Private room,,"2","0",,,"4","0","0",Exempt,Borgo Panigale,C,Borgo Panigale
"1226609460056778286",Giraffe art Ducati BLQ apartment,"108734653",Claudia,,Borgo Panigale - Reno,44.5186784587261,11.2728540971875,Entire home/apt,"149","31","7",2024/11/08,1.21,"1","161","7",,Borgo Panigale,C,Borgo Panigale
"1220098352530020199","Casa Guerrina grazioso 
appartamento","76402114",Marco,,Borgo Panigale - Reno,44.5201921700222,11.2734123319387,Entire home/apt,"55","1","8",2025/01/01,1.28,"1","292","8",IT037006C2DCY9QXEI,Borgo Panigale,C,Borgo Panigale
"1068908867136819283",Camera Singola Del Borgo,"547963760",Tommaso,,Borgo Panigale - Reno,44.51967,11.2775,Private room,"42","7","1",2024/04/25,0.09,"3","261","1",IT037006C25OV9CKJB,Borgo Panigale,C,Borgo Panigale
"1111381370529410184",Single Studio at Residence Joivy Panigale,"411204537",Joivy Panigale,,Borgo Panigale - Reno,44.517734,11.277574,Private room,"347","1","0",,,"2","0","0",IT037006A1KTLLCJZ5,Borgo Panigale,C,Borgo Panigale
"1081527288620147531",Morning for you,"501180839",An Ro Srl,,Borgo Panigale - Reno,44.51613,11.27686,Entire home/apt,"227","31","3",2025/01/01,0.3,"4","266","3",,Borgo Panigale,C,Borgo Panigale
"925101998582586566",Panigale - Ducati Suite,"32964652",Veronica,,Borgo Panigale - Reno,44.5204992425228,11.2782303132141,Entire home/apt,,"31","36",2024/06/24,1.77,"6","0","14",,Borgo Panigale,C,Borgo Panigale
"2329387",TONYS PLACE HOME HOLYDAYS BOLOGNA,"11898231",Antonio,,Borgo Panigale - Reno,44.51604,11.27732,Entire home/apt,"87","2","279",2025/03/11,2.07,"1","106","70",IT037006C24LJZLNB7,Borgo Panigale,C,Borgo Panigale
"38485909",Ducati 38,"32036110",Valentina,,Borgo Panigale - Reno,44.5162,11.26918,Entire home/apt,"81","1","219",2025/03/05,3.29,"1","317","40",IT037006C256YN9X2Q,Borgo Panigale,C,Borgo Panigale
"1010158481718119234",Bilocale Merylin vicino all'aeroporto,"543441987",Claudio,,Borgo Panigale - Reno,44.5200936,11.2734323,Entire home/apt,"86","1","13",2024/11/23,0.82,"2","262","4",IT037006C2VV47V564,Borgo Panigale,C,Borgo Panigale
"833350506480597150",casa di Silvia,"501846572",Silvia,,Borgo Panigale - Reno,44.5175,11.27678,Entire home/apt,"46","1","225",2025/03/13,9.25,"1","238","117",IT037006C2YV3LYWJ4,Borgo Panigale,C,Borgo Panigale
"1089213780417248188",Double room near Bologne airport,"525865115",Batu,,Borgo Panigale - Reno,44.51783,11.2716,Private room,"51","31","1",2024/02/18,0.08,"2","268","0",,Borgo Panigale,C,Borgo Panigale
